"Date","Price","Open","High","Low","Vol.","Change %"
"May 07, 2020","5,935.98","5,853.76","5,941.86","5,853.60","965.87M","1.40%"
"May 06, 2020","5,853.76","5,849.42","5,897.44","5,839.57","973.10M","0.07%"
"May 05, 2020","5,849.42","5,753.78","5,869.45","5,753.78","968.60M","1.66%"
"May 04, 2020","5,753.78","5,763.06","5,792.85","5,702.03","1.04B","-0.16%"
"May 01, 2020","5,763.06","5,901.21","5,901.21","5,746.06","781.33M","-2.34%"
"Apr 30, 2020","5,901.21","6,115.25","6,151.58","5,897.91","1.93B","-3.50%"
"Apr 29, 2020","6,115.25","5,958.50","6,129.60","5,950.83","1.29B","2.63%"
"Apr 28, 2020","5,958.50","5,846.79","5,977.76","5,835.92","1.20B","1.91%"
"Apr 27, 2020","5,846.79","5,752.23","5,855.61","5,752.23","792.25M","1.64%"
"Apr 24, 2020","5,752.23","5,826.61","5,827.24","5,728.80","807.87M","-1.28%"
"Apr 23, 2020","5,826.61","5,770.63","5,843.61","5,735.93","882.12M","0.97%"
"Apr 22, 2020","5,770.63","5,641.03","5,777.06","5,641.03","867.00M","2.30%"
"Apr 21, 2020","5,641.03","5,812.83","5,812.83","5,641.03","888.66M","-2.96%"
"Apr 20, 2020","5,812.83","5,786.96","5,823.93","5,707.73","822.61M","0.45%"
"Apr 17, 2020","5,786.96","5,628.43","5,839.33","5,628.43","1.20B","2.82%"
"Apr 16, 2020","5,628.43","5,597.65","5,657.63","5,577.78","1.07B","0.55%"
"Apr 15, 2020","5,597.88","5,773.90","5,782.60","5,575.40","-","-3.34%"
"Apr 14, 2020","5,791.31","5,842.66","5,894.71","5,778.98","1.06B","-0.88%"
"Apr 09, 2020","5,842.66","5,677.73","5,842.66","5,677.68","1.28B","2.90%"
"Apr 08, 2020","5,677.73","5,704.45","5,704.45","5,589.73","1.10B","-0.46%"
"Apr 07, 2020","5,704.25","5,716.90","5,781.60","5,643.10","-","2.18%"
"Apr 06, 2020","5,582.39","5,415.50","5,590.58","5,415.50","1.21B","3.08%"
"Apr 03, 2020","5,415.50","5,480.22","5,486.29","5,396.66","1.18B","-1.18%"
"Apr 02, 2020","5,480.22","5,454.57","5,552.36","5,395.07","1.55B","0.47%"
"Apr 01, 2020","5,454.57","5,671.96","5,671.96","5,414.72","1.67B","-3.83%"
"Mar 31, 2020","5,671.96","5,563.74","5,702.66","5,545.85","1.60B","1.95%"
"Mar 30, 2020","5,563.74","5,510.33","5,567.20","5,351.84","1.13B","0.97%"
"Mar 27, 2020","5,510.33","5,815.73","5,815.73","5,407.06","1.46B","-5.25%"
"Mar 26, 2020","5,815.73","5,688.20","5,815.73","5,503.35","1.54B","2.24%"
"Mar 25, 2020","5,688.20","5,446.01","5,741.42","5,400.47","1.86B","4.45%"
"Mar 24, 2020","5,446.01","4,993.89","5,446.01","4,993.89","1.58B","9.05%"
"Mar 23, 2020","4,993.89","5,190.78","5,194.83","4,922.76","1.63B","-3.79%"
"Mar 20, 2020","5,190.78","5,151.61","5,419.30","5,151.61","2.59B","0.76%"
"Mar 19, 2020","5,151.61","5,080.58","5,181.04","4,942.37","1.96B","1.40%"
"Mar 18, 2020","5,080.58","5,294.90","5,294.90","5,006.20","1.84B","-4.05%"
"Mar 17, 2020","5,294.90","5,151.08","5,308.95","4,978.84","1.94B","2.79%"
"Mar 16, 2020","5,151.08","5,366.11","5,366.11","4,898.79","2.11B","-4.01%"
